msno,city,bd,gender,registered_via,registration_init_time
N+Z/gSmvI3PUcXYA+/3iFpsna3QTxtoSpMeIrQLpj8A=,12,24,male,3,20140807
LrUDX0YCXgpDxd/fvSfy+ib208VOBCHFWskrs21CZiI=,14,48,male,3,20150518
O0ExmM3DK4sBu1m8MWNIb/VVc8aCRom/8kjSJ9twzWw=,1,0,,7,20141218
RnWprOFR1GftKQGrYzaitSadJLomiUI2vhgLfNEET38=,12,17,male,4,20151013
KxJ9hWl56s9aBoEMOsbN9NPgZKfo0hVtw0vXhZa9FS4=,1,0,,7,20151017
QxSaFj1PvBA9j4521/+F1OUg5poH8PUwoLiaQUuDi0Q=,1,0,,7,20160723
L9XWw6LpiWXq001Mud+UZAtPYYjPUcgMQYKGN9vLEKA=,5,21,female,7,20160724
UuknacSq7V8wdE4+0rd1/r9FsIX5VsDY9tlje5vdi5c=,4,22,male,3,20141019
SlU8b9VNKvaoD5niTRxwucWqampI2jVtugs0nYmRbgM=,1,0,female,7,20100820
L+UxRr4jIUjPP08XegaehS4SnRYnoZQ86EWe7sNVXpA=,10,21,male,3,20140720
TVMnn5OviMeOV13NOguKrVKGBa0VdmkHxVBpsqClaT4=,1,0,,7,20140208
NSkHha57L0NPc4QiIH3Ln0oNpElHPv5UYuMc7z90yiI=,21,31,male,9,20110419
QzwyRMefdEhrx+ugBY1mAcMIvFmk0/WRbNC4V0ZBJUc=,22,15,female,4,20160725
QmE1ARWrMeG16MoluJqxoUGGcigJmzE5h65mA1yFrcs=,15,25,male,9,20050719
MwnSWHZCq8RtsMr12tseuVVoI+TzOxWnYwvhUz2hBAI=,1,0,,7,20151020
KJvcpwaAx6X5y6IzT2DJCXXYnLZ/T3gQgcNiQ0+8K9U=,14,49,male,7,20141029
UYoIm6mJtG5wQMiN06WDdPMQ+dE+OGPxp9t6G+jJThc=,4,23,male,9,20141218
KTcQjn1wDkU+TdN7Cpw4x5IPQkpXq8KYMHGAJP8EckY=,13,26,male,9,20110417
PHXEIBopzp9ZTgGDZf125L5a265OmYWbjKsBkxTtBTQ=,13,22,female,9,20110226
Mw98qwXPiAJ7GuF3qLlxnXGqcQOd8OrJVuSB/6QY8w0=,14,19,male,3,20120731
PhooTNOJ5wKktvUuSJvyL50tVfZyYQBLo9KpOXV1lHU=,1,0,,7,20120410
K/TLVdljU83lfKSrP6Q6VvF8ymFQI0aQn6MW7fALn+s=,13,31,male,9,20140726
PqARR5TYWV87fwSkqsn0TaucyExi3PNCTd0/0ohGfN0=,4,50,male,9,20080330
KKsyCZ8dztnwmeogzt7nqlgJZyeWQASS+7qQr4f36cY=,22,36,female,3,20141028
JxrFmvTIqfcOLEhzJFbQseb2HHWDB0j/wjiREY2qz3Y=,1,0,,7,20140424
PHHL1nApg0Ct8QlyTEiNST7iVg5wIEAfX/0rdLb3wP8=,5,32,female,9,20070919
NTlMYAQuwE21OGnrqMeYTCKGyuwnmLnr9SVXDjm7VuE=,1,0,,7,20130108
TDzVpRGJAMFozC1lPuyYGq6GHqd3nxTSuG0HRmRqtmY=,1,0,,7,20151113
PdHLPrHxhPtfOsOfrXbPDMS2bkTOBryY3p9/j5lrWYg=,22,20,female,3,20130731
LsHj8bvSucOnxmc/WCToLwO1A8VVlFrXX6twLZeZX3M=,6,38,male,9,20070214
PDnQ5QY7XXk/RK5u8GOQ6Z2vR4AwEjrFwnWkFXHTYVM=,3,29,female,9,20140218
UGP5HgaHxeqLPexRQ2Wr34sRuhI2iIbghPrS4FONsP8=,1,0,,7,20140408
PXFai8NuOqFa97v6mPr4Nbeb+kSmRCoJkq4rN10JXDE=,13,42,female,9,20101110
OzD5D6FRGyR8Uojejs6YlY6u1K8VzKx2vwDAE8NjPpU=,1,49,female,7,20110124
TbUUfEA/b3pSW6pDBByqaZiC5GyUeqHkL5zIpYutv0o=,5,26,female,9,20100217
Ui2S3MsSTNYdRkurWqaIoO7zGvcWvQC3xAsj+udp3ks=,1,0,,7,20140210
Mg/Rg9deKSKtQ06JD1NK70U18m8vbdZUQ2w1h7N9xEM=,1,0,,7,20140329
PsrINod5OUcjCS3abu+I6XvG8lzVyS7bR+qoxGpELyw=,1,0,,7,20160108
SgQEZ4Ct7lOJ7H2Z/tzjxT801NRQ8i5d+Wovx1Sftqg=,13,27,male,9,20130714
SOLcFJRCjWKoEEecFERhoC6cZl4DR5uFTIlc8PLaJRY=,15,17,male,9,20110902
U01y3NzJE2c+T5CpUq5HS/D320zpb1EagdXDRKvxzGM=,1,0,,7,20160704
Lu5fujfOypfEy3kSetbM/iWpwSceINh1M4tHLtjA6X8=,15,33,male,9,20080222
UpF6Lojz0f1mTySCa3Se32McGTxU8XE64OkzLLy9b4s=,4,30,female,9,20051105
RxG3LMuab/kOUu7VIXl26F//N5UkcqHw9504gecFFc4=,1,0,,9,20160721
UOpidQQ9MaGD7/ngIJEmQkNDVpdBtBVvUN/GckTNf20=,7,21,,9,20140930
ODOev34paJHUJPfoRJn14x6yrk7f1ORXOuarq50K+zQ=,1,0,,7,20140331
V43S7WUPw4JPmj5UWuVagsW6L8F7Yn/aj46WHoiP5Ec=,13,25,female,9,20120107
O0m7wTy84DYaPJL6ySD3v4v4+8fBENC1xxyFbEQC8yw=,12,43,male,9,20060424
KmJbgymuvQEUOM9Ye48McN6xOklRpE5q6x6ib9D05+E=,1,0,,7,20160224
U2k6OEtpi/oV7NFU4jxFOU6ZxTodHRcIWhUhQYsVEZI=,1,0,,7,20170218
Suj0RSCkHNwHLSK0lZT/aZTHywEvg9DIKqMV1udOB8o=,13,18,male,3,20140307
T9R4rim7W60QMtjh1NYOrGopfkyFBvyW1V38kS1dqG0=,1,0,,3,20140424
LSKQaUzuA/4bC++uodYxQRtjbLRhw6eZwfmXvqEbvAo=,13,0,male,9,20040725
LkQkOIY8u+OKm7Xlw+HZUST7K/uPO7NMdlIL8L1asxQ=,5,0,male,9,20041226
L4malnAWbchZ1DxKIvq3pHBEyzLzM6c4oZ2YAaPg+r0=,1,0,,7,20160128
Syj6VGJQZtjbu3XOzb1CSrK+0DJJDnXJsDYRXatywwU=,1,0,,3,20121104
ONXrnhsBdfibcuTi+aKRWBpJsZyFcumcictYPHRN2cM=,13,19,male,3,20120518
RiDFLrlB0/0LBni0tl5/1AjZJkvz28xFdcu4XatoxNE=,1,0,,7,20120525
QYOfsEf56uzhDoa22/LS8IXXuBe6F4Q1uyKf6ses1ak=,1,0,,7,20151101
KibCnEL0Deyvasq4iKzACUtzf9ybBHcWySQ8s2W3kSc=,1,0,,9,20161020
QYp+rSooySBZ40aFhn+Vf6FWj7L/Mi55XmSGrjhnj9E=,22,33,male,9,20040702
RCRE3hUVSCo35VNG2tGXgS58TCjsSV8uxykUxnliCPs=,11,33,female,9,20090720
Spb5EAR/NLJTMd8tyNpxE2H6fze/f70TDZuH32SrtQI=,1,0,,7,20110201
Ux1NKeoqJcsFpIYqWVrt36augtXL28Ze3+r/9HJPFIg=,4,49,,9,20110205
SZ3x5TiortCSF15xCayr1RN8hbbUyEsCBszWZwFGXc4=,16,38,female,9,20050620
QYGrPpSZHENydyFJ9YUTOtGsKq5EneKu8C1qEteBzQg=,7,27,male,9,20090629
NDiBTMXQ8/FCbtimKYDHzhXDvIioh62LhCgAIclsCi8=,22,29,female,7,20140516
LI4foAyhPAKX+f8ztb/Jgwk0GyXIgIgHhlKAKcGG5Lo=,4,30,male,9,20080703
LS1BlsLeU0CjWd8oqxeq5m70lwbDpu8M5TVixQG1nw8=,3,30,female,9,20060920
M/IC8E57biKMNNAXL/kbfJk+BVwNyXFRVAK7LijBIuU=,15,34,male,9,20050627
N4DDZ1aXfH6EcgREUFZK3H8PMsJzla/J1tvwC39R2/Q=,5,23,male,3,20130916
KHNLoAk/tfELrG657nQE6LMi1X+JN4YAx2Bhx9Zu19k=,4,27,male,3,20140310
NJFIyY1VqUCLi5UvEDe8BRbqSLFPeq4OEY34Wwk+c5w=,21,19,male,9,20110505
UiJwFtsO9z35OFR3rQ0/RcwzTtOs5r4rT1hDb1EERgc=,15,19,female,9,20150102
PZItxIzxcie2MXF5O2/3vlwUav1SzAqhaJdr6qu4nP0=,1,0,,7,20140514
Uyf5Ihq21xGtIUn4I8EswBSNl6KX0K2RFvQPi+mxdNo=,1,0,,7,20120312
NUhBgtwyXTJgr+4jqVKejUs/NmerxH+hr1slRuLRiuc=,1,0,,7,20161218
NXCtMfjTXGerYksryYIpW0WqdFpEb1Bs/bfLeovERSk=,1,0,,7,20120503
MZ70ph6uqlIPm/szV9jcRzRuDr4mKWkgiX38kmQmNuA=,5,52,male,3,20121220
LjwgH5LEMZ97lk5+UYVUIov8vk3TZYd7/depAVN0slY=,1,0,,7,20121224
UqfL0m9X5AbcoaJTYqngAcJwUy3pxxYrF5Cmxjdd//w=,22,26,female,3,20151204
MiiyUBM1G1hKkY8ECQDZNkotG6hU+UKVIrBtbGkl1YU=,1,0,,7,20160405
OA9rxbqUwF82ER2qErcFKu+4Tcfm+sav4+nHyYc04KY=,12,0,,9,20140923
N4BXOolTE6Q0wGY5plInUl2gC3V4wxh2CVJe8dNni98=,1,0,,7,20141006
TYj2ELXtM/fHKsLyUDTTaqrmjL2Q21pXc811j0R6zYs=,22,49,male,7,20101004
So+VJp7EWRZ0cd8P+MnSObz7CWqYi19ss0q966qon/E=,6,27,male,9,20070807
Up1YsEo9pNl8YLvOHkrqTetyLOyHGiF0f8SfoocYzVw=,5,31,female,9,20051203
PCqw2I+b/4WfxkRDj8Stg1rqQhseGUdpLmHQs0k4akM=,1,0,,7,20161105
QGiUwFDFN7ydvnzjx6Xlq9cXwA+sTKb/EjopiioSeUY=,22,44,female,9,20081221
Qx/wUTL54HRnUuliw1BSrzraPzEiKM2Hay5ylddoCJY=,1,0,,7,20131121
U92Jp+csqSEu7SoGSc54c2dt+n6O+zCLK/+kyxlsG84=,5,44,male,9,20051211
MXDasLBjnrqm4Ac7oSkZ9X7JrTxoWTb4EbI4n0kI7/g=,1,0,,7,20110531
Nq5fe54ujdkzPJtxvquYYb+JdaQnPusJEnk024Rh83U=,13,39,female,7,20100508
So4b2OchRymEh/5gY3q/A3XcfvC9N9UZBoZFh6GW2yY=,13,31,male,9,20140703
JxFLoYrNgKp9sKoEGU2Q7AupLW9/ujSX0BQwgDG0+zE=,15,28,female,7,20110609
OS+HWwdKAJedcvphMzHNEDDKe9HRFS7pzxFTDtU6DSU=,1,0,,7,20120706
MIC1N/xtEKAnSLnaEJoBAMLmfjEyYKPBhG2ntyxvLk4=,1,0,,4,20160616
TAd17hzv2TpSJAqUnmrtu7WPeUq2E9qDeX4+129By18=,1,0,,7,20140630
Jv7UuLbHP8oy1MI/JDyBuwx2VEtXcbz8Xs17rgFfjh0=,9,24,male,3,20140803
L7TbPWYGr8BqOx5/7Y39qhajys3zJoqhwwCbxQwpPuk=,1,0,,7,20130205
ODu7diq0DcuCl/TID/buNZu8FRixuC+wqe/EKmSVq/g=,1,0,,13,20161124
M2R5I0NQ4/zn/HYpdeecvbGijwSKXLfgkbJNDmfOEHI=,8,18,female,4,20161202
Sk/utTuw1Jnf/CCeVMih90ZvKx1TcSjma7OkhAWhnoA=,1,0,,7,20130903
T2VrwnPlkjvNi7nrj4Y0fm29fFRNekWgjP1xFqQa1oo=,13,37,male,9,20101120
L824Yu8v0fVmlNyA+8ltgyH/MWMrpDJjyaWDKZzwCOk=,5,20,male,9,20140203
M5LcK4Q4B2Lpq7QyfxEcbLOS/ISvpHu9EkKL9U2wyn8=,1,0,,7,20110323
UejuxmXPjf+dnH3jZXka5u7uWvnEkTPZQfRfePJqxN4=,5,49,male,3,20141116
PhRXmH/ktZO8LH77puz2ZJH2ZE71ra7huXhMu+A4T9Q=,1,0,,3,20140629
LKsz/KOiLR13LfW3lWsz84+h9N5Fv37J+TO+4f0ULBE=,13,36,male,9,20070710
O2mMvvhoaaHmka7Jv+dgc6wfxFRHAIaP3sToJQc0NPA=,13,32,female,9,20091022
KXs3m+/WBVTS7Os+VvMAkVFSSTPaJ905rNPk+LUI9Oo=,1,0,,7,20140208
USlQVwoWlWvp9i48XAoUUr33eh0ZB4Ht1IRBk/n+UJ0=,15,34,male,7,20101226
PTqQvTu/JV2UjHifQ0B0/Ol4ECkei/g5u/Igw1KUR0I=,1,0,,7,20160508
RRxoYgx0GPtp6bdHp4mwoytM1RfBRtdMm2dtTtHSzaY=,13,47,female,9,20110123
SrnUAPg1FPwoay0gKlBxeAU+npxQr/g+tJXn5Ai/kOo=,1,0,,7,20130514
ScqQMEqw0GY72LLNo9Z9xQ1kHlCp+tMMpuk/lQsjpO0=,17,25,female,3,20120320
OoxmfRjHrwYo00dUS7MG7hLHqrEx9cjJzzGE5C6ZZoM=,15,31,male,9,20071120
RPThlkgAqdVGgHr/MDjneLJ2FEBMo+TLgc3cHcwJdu8=,1,0,,7,20160720
QDgiqTNAjtcJxizq9G8KrMHQiCPzyPVv7fT+i8QNEF8=,1,0,,7,20140411
PNAAU588D7AgrOqDJ1/QF3yacEIq1VWeIqdmcN8xpHc=,5,19,female,9,20091228
NlMSNc5BSvSsGGvNsEdYb9LJV1TBwvqhJP7yKbeqxFA=,13,21,male,3,20150428
LF4r+h8Ujar8fNY7bSQxPpu3/ILEQZYFO6aL451vffU=,1,0,,9,20150430
L69GYPBvvlZtD89HLMyfxTN+q++8oSKgb6gwc5O2Xog=,18,23,male,3,20131029
OGTL0le571sdoQJZrbIUm2mGgZ551vY2cVpYkHGdcLs=,1,0,,7,20130716
UP6YcCb3ELLEOhXP/CqpDFCirJ5cPdaV97IcPALe2js=,1,0,,7,20130813
QG/KhZvbFrB9D5QMEu+4jmP410o+mbsVlmYfqXFmHyc=,1,0,,7,20130504
O3yKbH6au6XUXPsu0L5yEsO102Nrg7zLPmxqw3ZcQks=,15,22,male,9,20130707
M8V7YcpOZjeAnWzM/mMVH5TyIQ8VuDslEpnUR5E1Fig=,11,25,female,9,20050313
TloPOI4JQ2ZsErIBzBijyxDXNkg0sBRhn73yeAwNFzI=,4,87,male,3,20150814
U4xUpFzAULNFdnNhcTZwwKdzJsduFecwg5TKf06fld8=,4,21,male,3,20130928
TtyJJ/TGSmKSNWXQ4VDPaFmGwKm0HnoAHfwYsxRtuGQ=,5,31,female,7,20100415
OewGR78mFzv7QKQV0a+T+LbLq1jngUAVgeM8ybRFfwc=,1,0,,7,20101029
LIfRmSZAptBab+RMoVHuBDzHoY3miZSN64+gWmai/TU=,22,27,female,9,20101103
QPj0V+CctmzgcVBZEQaOqOPY3nHmzrqNMTZy1iYPPnM=,18,19,male,9,20101111
UHKb6YsxMxmPvxt85EbGd+ILW4I+PqXa79Q2SPyH17M=,1,0,,7,20141122
PPJd6sLVbYRG8zwILpaD+zqU9y1FshqakaY3Zvybf30=,4,41,female,3,20121015
QsChuUUD1dwQPz11cing2ebZiIeduF2RCxpbRulm2hA=,18,18,male,3,20121215
MRmanim9uzyZ3HzE9w7kt/RJyM74pnCmhhxivGG8eyo=,5,24,male,3,20130103
SOmpnZgSzX1hMTntA3VE/bRxs0kow7lwRTfsQYT5PS4=,4,31,female,9,20140527
Svdf67uc79c45Uy8LzXGDMoacSYksVGWZpVS9VuRYZw=,1,0,,3,20140103
MvWrGSxakkiNqLGflSa8epyaomBOQxzxHHJuElim78g=,1,0,,7,20140115
R/L0yz5JyJMPPajg2TFtJxa6He1xb7UKXSe6U9gpOj4=,5,24,female,3,20150514
PAr6F3kytKjXehiVQfhC6rG8reEoDRJw+huCRjCX19M=,1,0,,7,20150710
UcdyOJHb7+iX1Dlh/kJnmRWMDUqLmZBlKPvn7Mg5If0=,1,0,,7,20151110
PJI7HUEHRb/29pxiI2LBTuMgFYM1wCDCCa9XdDhgvoQ=,5,0,,4,20151112
O+wEWS5rKk+APINcHijeHatGFyd0jCAv9RBHxl23PqY=,4,22,male,7,20141029
Joubu2XpY7KlRyZECOlt7/3lF4lc7gLdEUozY2pj1Bs=,22,35,male,3,20141108
RkjLndqLc+wO8hJcjGP6OY57OUtJ7UEe+KB0cxOq6As=,1,0,,7,20150816
QdLzlIu0QUzWHtsYRgrZSUeg6w3XB4GLSa14k25TYJs=,1,0,,7,20140220
RktiMeE8rorFHbt/o9S25x2bylP0y03cKb7I8NbJSmc=,11,30,male,9,20101009
MwgKRPMKj+ru5MT7OuF1EexkBoefFA9XhbYhs6qERR0=,10,25,male,7,20131002
RJkx6K4O74BjH2BOzVSFXvaH9eJVa6IB72vIIrlLUmY=,1,0,,7,20140206
KgqgQot31DzfzfBW3Zueeo2pwHjDIlp35Y6vrl0Ppsk=,13,28,male,3,20140206
K2lRcPw0s8EkO966FyZ6d+3xC7ZTMYKj+CUihoPIp8k=,1,0,,3,20130307
PUgggZq7uttsFhJZ1aQG5GtKnShhelTFkRdO4Dj4ufM=,13,20,male,9,20150620
P8WefjjAhbTbzRwOEkWJNZahnUoEGk4gHCSRuOu7PRw=,1,0,,7,20110224
QzhJJOkac9pJEifhmktrBR7QnXHH4UsjmdoT9pf0RAg=,6,23,female,9,20110222
KFy8nLmuhKwM95pmMVo21AjSpwBYZBQrBgrFzL9bLac=,1,0,,7,20130912
LfBEV2mm+TQSJ7pP5zAL1pJXGXhGKfYp+FOWTUwVKHk=,13,29,female,9,20150601
M4KvF3dmYNs47gRtWVR4B54XIlu+u7/b2qyuqhfAU70=,1,0,,7,20130714
S6vZ8RPZYk5lRaFi50sEOo0sYlU2znGuVDxfvC0+z0M=,1,0,,7,20160722
Rd5GjGLvQzGKyoq2SwKZDM7ijPA3fOF/V4ZtSune6No=,17,60,female,7,20150826
PBR1agiMhgYPSQbzRhC4j+qBmHqZRd6Uo42uKWbeh2k=,1,0,,7,20150926
SCm2+b1dTA1amxZFitckih7FJyBoyCKlBOTtGM0vUlk=,1,0,,7,20151004
KwMHVxvXaSDIiNAV9wp35axgtL/dD7vOvq8HwjeZ+/8=,1,0,,7,20151009
KM91ReEePzpONNVR6EpxGbbwOBb0rh5nfPhHyq1ag5k=,1,0,,7,20150819
L+JlWnMf3QLIal0VXF99NuclYOQMnNIjJyY7UAEooqQ=,4,26,male,3,20150828
OssUseBaqBQpIFYrus5AWUSuYJCi6ObDRl7stSu2ZVM=,4,27,female,3,20150901
Kt6jVoAfQEcxjBA1+FJsmK1sPbZKp2THNq26ZS6LLtY=,13,29,,9,20150918
QCL8yCvKOtNkC8ly46QKfIpXMue5hJgwMjtGKjnI0HI=,1,0,,4,20151207
PaZcehkr//8+clbGWm3cfsRt3rsUsD8tZPObkDK2sX8=,4,0,,3,20131127
LJveLUNRoJNQ/E2MPH/LDALsLmqApPpoA9XoQOnFFHo=,22,0,,3,20140301
Ru4U1dh3CCI5ihCbpvQtDTu1A3HFX9gA4OO4dQOI4t0=,1,0,,4,20160124
PQALkTDSNMwSuXHWIVdmq/mvXkaasOUpd4osWQ5rNS4=,17,17,male,9,20160125
KobZrxUavAfAfhH9S5/2zSOuACa1Bw2x1rb/H3eRGxs=,5,26,male,3,20151212
KJJOYcXYvsQIeYmdwHPSn0oD9iVRd4S9VIUPefRGQLY=,1,0,,7,20130716
O4rLju3tOXdbmsTWTaO/lSR4VF9qMYjsFD23XEq3Wmg=,4,28,female,3,20120212
SgT5Slg5jZCX/6bHBHGtJw54j++oqwOQh6gKilgnUmU=,13,24,male,3,20120619
RqxTAFHf9zMBEpSNACMZxi9B/rOnEkdls8gjttFMCL0=,5,26,male,3,20140909
TO3SMdQZsBnB1Wg7D8F86Gqd7TjwNWSWa1+3s18+ODI=,22,19,female,3,20150329
KZa+1qd+BOqpu+/BecoXXLZ5vDJQeBZAkdRpAnDELCA=,1,0,,4,20160704
U73hpfS7zxs1SGVQcNwZQBzAIXbczwNOpTFgJIVtLSM=,1,0,,7,20130614
L7uK+dTmSetnk5edTzOIGFLUBXHnpcDfYm3tT03FJIM=,13,27,female,7,20150804
R14dLlsOiKgJH4ePgYCr7j9RT5trtYVQ1b74rZmaZkk=,13,21,male,9,20060910
UU+eM3jyLFbFQ0RF+684JsQtTjD7EdOXXQAsGHW6H+w=,5,37,female,3,20120823
M81Gp0eusEIOXDMHCaX7V8T64Xeo+WISWiOGTrMOJHw=,14,22,male,3,20140611
QatBesyVKej2y49ghhLO/f0E5e74ioug1ATqpAhDQn4=,1,0,,7,20120731
OxHIWvqB4uF9EJXc34QAbZjIJrzqng9EB5EM9GJ7is0=,1,0,,7,20161111
OgFDH4Knzt7UpVJXoP3u80NeTH5MInpYHKF1rY4yQSY=,13,39,female,9,20101126
RHQtzg0Mt56o9YIU+gbpeAlpoNbw4mV5BqLNdIwW3yQ=,1,0,,7,20130512
Qle6EzjnYNIAD/uAvUZn3tIdt6EucxC2OkDzzeY1gAQ=,1,0,,7,20150817
UGEKxAX36wM3r0iByY37vQPYFYRorXlMxNG7DrCJ2AE=,15,25,female,9,20070814
O7X4rVMqNv9VgAU/ABRdnKIbslOS4Xg22a7BVBipCOE=,9,30,male,9,20111215
KhDwcl6/eCQaCKL0spUiAxFBkr/H/cFp0cC8khA5jI4=,9,29,male,9,20111215
TpUE5BC2P18J/sVvZlK1AKXTu/9tWk4uaZ3mruhuIrk=,1,0,,7,20120110
NjS7X/Sdd1oaV61t4oKRSsg48oUeTgE/LXWlstgoDQo=,13,31,female,3,20150826
PFAua/JLnpIfuc6cJqGG2twxMyUgKURuhTGUAog3d4Q=,15,0,,9,20150826
N5EW/XeV3wu+3WouHYq2FN0ZMgq+++fgb3RSKJsnMS0=,1,0,,7,20160503
QxHbD17LC0yofSxI1pMuFw/BVWO+6grYHhMgx/Mu/Jo=,1,0,,7,20140831
RXO12/eeTg73ppzOuzPm9BudkVMVy/IUeIqAJPU9db0=,1,0,,7,20161112
L8zGm2Os7hNRdhVN1p41KYtOMdV7iv7Z595lWaWFr0Q=,12,0,male,9,20050618
V3Vy80Cjj2Zdb/WbB79DL/Z0J2XFMVsoU0r3IZ8lPU0=,13,27,male,9,20071219
UENEUa0IauQOAaVhtAcbo/TAKgXsMjE/H0UEFnEvvog=,13,29,male,3,20120722
KRDyUVxTDkiEKh2qmzVaQ69dFTHS/m3c6In5Q5YFdSM=,13,27,male,9,20070817
SiKYRpzIMvEU4byx+CvtDoqHA5xwP9lIRvMymxuFAgs=,13,26,,9,20140107
OXOG+RovdLL2Ls7E79WNoOlPa/PEIsBIImgrtw7Al9M=,1,0,,7,20101206
SK7S2cN/9d7B5GXw+dQBHC+Z/0PI1PdmFwAbaNgteDE=,1,0,,7,20160804
QnC6oD8JGih8sH+kPfjQKG7JXU+eV0wH6wF4ZFzMRyQ=,4,0,,3,20140710
MnEtFKFi00exOO7C4IzWAQ2LJfN1tTj5QpEobAb22gE=,13,22,male,3,20121119
UfJcgPFKmSyGyk+sWF8YZ6RTW4rOt9GYYIXSNFUYPy4=,5,29,female,3,20121123
TUm8eCJShwvhkNiMG+xqhNzWMmfIqsUf2c4zM+jqwl0=,5,24,male,3,20121210
SPdUnqZ0sHVAVS1EQLm6frodMqGKXsZCKL1W4hqc+TI=,6,25,male,3,20121223
PL7kXlaelVI29r6fg71gIQqg35v+4ky3VmSXyhAOM+w=,6,20,female,9,20140603
LpmcYju0m5RdzhcbaV+POuv2Aeu8sK7lQo1rctk1Peg=,13,27,male,9,20080706
PPlwmLJyzXtWZzgY2+e6i+Y7RRwQDWUilCNZ9w+ojG4=,5,49,female,9,20081221
OT61XbGh+FIPfknPTVlLqC6teIVUeqWmGsgF0O/MBQY=,14,39,female,7,20130415
Qkst8dr5UgHP3mLTsm+fA2PfxI1EJrdQA8WVIgW2HYo=,13,47,female,3,20120216
UhFIGEfZqePysuZQbcpQx6MzCZoLCITpQCHq5bXJC10=,12,31,male,9,20120216
NrHSWACeZsCsXZ6CQqPo+3k41iK8WJWtT8dIvkXQLpg=,13,25,male,9,20090828
KUdOZPTu6Kckz3PuWzPfnbdA2VKREdAiMqF/8y7bK/k=,5,21,male,9,20090912
KAtqQnhOokDvGkV866gfxl0LhH7XLVgZgCYIzDurfUA=,15,25,male,9,20051224
SmCushiMQeogzhqKtd6SWJkgwq9rZONFjOQ7qTvUO8g=,15,24,male,9,20060312
Ku5SGTnRHkLOh9ZHuuz7WMQh5g9LswKWXtGBNqGSU1I=,15,35,female,9,20060327
LF455io8AX+/u2gxxZxNmotlVLGPqXhd3XXnVPNpMn4=,13,30,female,9,20070717
Tc1nJSU7DYWMT4IkrCQ9VsTsiWbne6joCSuPj5Yhf1M=,4,48,male,9,20070721
TU/7N6WikA1UtoeVeQ5piGxcoWlSTwosLIRi/43wG6Y=,15,29,male,9,20071116
UWI8dFtrVLzbr6rCCkjaLVjbVeX2U+xVXycJq0jvosI=,22,20,female,9,20080105
Ncmhct+g1tAY2Eb//gfopu2p9PRcXbvIcmO12714Il0=,1,0,,4,20160604
V7S5NTGFufncZJORYqbxVK7mnZbs9YzyGEviSzvuV4k=,1,0,,7,20160605
OEjjnzliD+M/MfXbpQNX3CVMZDhJ/bLiCJcULRUL4S8=,4,34,male,9,20090124
SCsxErb0wdZWSiAUflOxfp7wv/76TIu4/VaKjcNg8os=,1,0,,3,20130317
LkKuYGVptr/o26/YR26J2EQ33BhxrHsSCtn6sxo8Y7M=,22,18,female,3,20130407
M2uH3pY/5uO+59vMcXz5KlRqkhOj3/EtevSCdhguOUE=,1,0,,7,20130522
M9xUhooNJqkJ2hhvf39bXrm/tAmsuxFqwxGz+gVvX2A=,6,30,male,7,20120202
KyKUP4q4O70ayBE6sC7w2RJ2bH8klfa4CbDgYUQTYjY=,5,43,male,9,20120213
TyPrhoimNKVj/pi/5LrGhgJLfIrMlsqnL1bHr0RbqYY=,13,31,male,9,20140310
Km3xy2kIU6ZaTTdvE4dYmP6AYmxhfkuu3DDKuVxXO1U=,1,0,,7,20111013
PS17mHYf2iNzDF3WigH2aQZZEwXnPWuHe6beF0MdGaU=,1,0,,7,20100414
O/ZlWUl79h7S3PGmO0L1srGj5Uu49xQZfCh96btc3dU=,14,36,,7,20100507
Q4NzYvT6/a4ygyri1Zo+iCGkF4VxKBxWNG9ZaerQrY4=,13,40,female,7,20100610
PsAHp6xwTGV/mMFtP/yhaW7eMdJ9UJ0TKAhha3yDt/w=,14,23,female,9,20130121
LhVqjrOP/5PHAUwS6lkmez32JQxsGkKPdyL9SuhHpto=,1,0,,7,20130208
UQ3QZAXTKCmMeiPn+5EM40yjxoub/N0bgnUYo51cI40=,1,0,,3,20131019
KWF+oyf4lmHwHlzGFgEIE2Sjox+iEVS7ePYjMsYBgls=,1,0,,7,20131120
LI3YGOzHzPQia7ORHH0zjEhZ2qiYpoq2R8SzxQyjjoA=,4,27,female,7,20130115
KnuMa0vL/bMx2Co7YEpdLayLdf2lp/UQKDSGSJtFO6g=,1,0,,7,20160319
V+IcrEoFTMxl7qVJjsZ412ail8FWtuvBvTUdCKievas=,1,0,female,7,20101201
RboLMTfgJSs810FIrcTFHijDwYkNdmpfBhBwXnjtRL0=,1,0,,7,20111206
PMLunaCmsHGb0LN/4wuTVlkxufg3nGaRp9a2jXEDCvQ=,5,22,female,4,20151110
QpwGlHSkeQiX0Vdno+lJ7Fii+dZHAAq7mU9X949w+iM=,1,0,,7,20151110
TgSMBjOknT7mRpjFifT48/f+urIJGQvjs/s6rUZu4+4=,5,46,female,3,20141123
JvOSzOohZGUCtryk6O8cmg7jym+AGqAfm/jm7nZo0vU=,5,19,male,3,20130427
PYxFnALX5Nze85c87V1qvMj3dW1PGxNY75OzNBJnHNg=,13,24,female,3,20120423
R+80Emqkr3fNnxoIIeUDru9CxsOoRXnZJRivsOAcSpE=,1,0,,7,20120626
V/CP8Y8GceoFy9knPJX/B7yowbGLtPtkU0lyOvAUBks=,1,0,,7,20140624
