msno,city,bd,gender,registered_via,days,season
Tdnz5BDwD2cnU07aZnJkXl0ZLd0DUL4UAhzM/PjINZQ=,1,,,9,3,1
lOXhB97AkPQWtnw4qTC4gUFzGQIBNkYb2fyh7FTtwUE=,11,24.0,female,9,3,1
VQGivGtMRyV0/v8vBPcaIjMvxv+jcxSvpPEgqEcJbcU=,22,26.0,male,9,3,1
gAHa7Ewfl7QTi11ZCdcTD+NyaOjLoqSKYVLKEUnvlf4=,5,,,3,2,3
kT3wCkucs3fJG7byeZpgsmTrbIzoX8H6JidWYe387Mk=,4,21.0,female,3,3,3
S1fVvYoQg7eZfQBj33bUQGN/5UqRpqhJj2ajbo6jLgk=,13,25.0,female,3,1,1
96A/T0cGhV9oLwYtRP18vHMu0VszJCFcPAiik7reQKc=,22,25.0,male,9,2,2
uGsKJs/wp6+ocutwTqiszzh47HijKY7Wjd0J/BKT6Lg=,22,22.0,male,9,2,3
dfT36hFS14dt1oCz4wfFm9Nc//ezcMusD16hyBVpjBU=,1,,,9,1,2
pANikPU/TbumhNK8PQhIanJwk4t/3deqBHp80sIt/tA=,13,,,3,1,4
GfrDKD5gOAtwUF2whbcktR+PGEOE0xvAtgwQueyIH8o=,15,31.0,female,7,2,2
h0ZeqSjihlNF39+5H4Y40AyBL/VlfQq7d6j7ek3FKtA=,1,,,7,2,3
RmLdlWQs22ose6q0fb6ey/tfsUl8MZqS0G24BmZmMZs=,9,37.0,male,3,1,4
EHIq5HXqb5bzjp3w0oayFvlfrY6ybA5foakvcVKpTZ8=,1,,,7,2,4
8oKf7kh92vSQgiAksFfW/Ienxxei7wPbhN6yfFyWiDk=,15,48.0,female,3,1,2
T5zkd+caBBbd9NaeO1/s0mwuvizSE6HuLUJyL1MxA+c=,22,23.0,male,3,1,1
sitaELFzo5/t8cBZHhBDsSb4b4WTHAqEn0vj4VPZQ1k=,1,,,7,2,3
b9Hp5YoEoKKdkqJ/sVuYN7EiLvB2T285R8FzLx4Vc5U=,5,17.0,male,4,3,1
9oQQfScbj5wNuIBSGuIpJu1R1EDsSSMQ3AxSCMRWoK4=,22,23.0,male,4,1,1
MsaHVipbXlvMWGQ/kROib6pkVI812dXb98bJKEiJGAA=,13,43.0,male,7,2,4
iVdspeaJXGEg92ylPoy+WfxkqzwPdsKqX/EyH/zYjwM=,1,,,7,2,4
PYMIAMpiAoLQwQ4HHVAdAEVgTQqYPggjWyU/jdajPlM=,22,28.0,male,9,3,2
garUn6VS2auvSEAGenr8Rh/OsDP9RGt9SLuUXRwMQQk=,1,,,7,3,2
h0w2F1WY1lFXBej7P06fC9fu7cJnA2hscSi3CAMdFJI=,1,,,7,3,2
xc2qZlSIdVp3v4jLOkhFkm+Akvv0WTAU9idpU1VmZFI=,5,40.0,female,7,2,1
eQCWNjPiR9YhKkDe46tCvwWtQ6GkrC6f7Sb6DrzJ5Ng=,1,,,7,3,4
bSSPCcfxmTKRELrszSr8ttPDO7Wr0qzAz8Ya50EfzjA=,21,33.0,female,9,2,2
DAduXC4KxyHykGYOBqkiQxGyTRkvQxQ7woGUCr1ZzqM=,1,,,7,3,2
X0huurnwdOTGKqAnvIeBMN9drLg0tPZxeidtxPYKZns=,1,,,7,1,4
abs7yQmwywFe5JT0vFwjLa6WtGNRSQrkrDYBRQ3mhwk=,1,,,4,3,2
os7/fIH/kFEXjC+cueTYjDCvZhOzvOYew0CMDrG7ens=,1,,,7,3,2
buZtoySEUHh45F6hs3uOcU5/yheHOxTdNfkdIAbu43c=,13,,,7,3,1
7BkEh75SETmIBR19XYeuMD157bNKFAGl3lMP/c3rVLQ=,15,20.0,male,3,2,1
oYndUmjLlNb9bVl/0mftrqNBJ6uN5uOdLE+0N9x0NYQ=,4,21.0,female,9,1,1
Tq6zzxJJT9Ay2yxFM8RoRVjSX4D1UAlW5+71dmU2PfY=,1,,,7,3,2
dAw1tIXQW6651tQWherZeuHmX9ZOQGa5j1AVlaRqQ+w=,1,,,7,3,4
5PstO6RfpxnOceEUv5mQS3f/hLsTB7Pjt++jUxu6TOY=,15,23.0,male,3,2,4
sej7TzgI0N4dza2vc5ZZ6crda63qEorQamNXO7zxJh8=,1,,,9,1,3
9TLX7yR4ML0sEE5fCHPcgk1g89EEJOrc5FFn7B6eW2k=,1,,,7,3,2
Dcti4z1IPzoc/lWg/MDyvZl8GSOFbZAMSlTlrAClPVk=,1,,,7,2,2
Q7/ugHsC/JvDB4d1qJw+rampowOo4W81kC5b3W9VN7c=,1,,,7,1,4
wVdHPLO7TYcbGgtKhqoA5NBAwz72B6RDwLmSGsKMjPs=,1,,,7,1,4
Pd9hRHQjtgmp0GfnCe9mXESmx4UNhfrJ2gCdfemNv2w=,4,57.0,male,9,3,2
pwYqbJkUxcULzQq1VQU+kry4NHMV9OQdnvWtbwFnZc8=,5,27.0,female,9,2,1
x1TPf2XIcDJb3FT3Hq/1+gbp8PkLbWO+2pFRZ7WHJLs=,1,,,7,3,2
g57ktfW2+cCxQ1a9GZBTHafNsoIIGsGlyG7sWeiwbqI=,1,,,7,1,2
nKdgkLkuuCXPq78962PPHmM+HCYoKWhGLdx2AwfYq8E=,13,29.0,female,9,3,1
NpUlnxcqL2vN3zb+lWJAVT1t3kAsnDlqqbTBuIx7pz0=,1,,,9,2,2
0Hy5ZlEnR0buLieYgpkLMHpJMT+pCREdP8g9IMCX18A=,12,28.0,female,7,2,1
usR81cJylBlyXeCeenqD6PWkSqfrPCJgWV4I+0Zrvns=,13,46.0,male,9,3,4
n/678Zp4Col/sYEM8l2ApSJKCI8TTks+74Bq5QW2kAk=,4,22.0,male,9,2,3
B2LTD8Nx/LsOsUPxd9Ye+03B5uXo2DkUkTMiSRACe/I=,1,,,4,2,3
RCV1LG0qWjhdrDYlWW9wVeauR+SCAcjL6n/7oJKxatw=,1,,,7,2,3
4mKzyUWfEtB4utTfYttTvjGs/h2Mh5X6sLOqfa+/A/A=,5,25.0,female,9,2,1
qZNye+Wypwm3vTZjnPOa5CD5FqTvTxxBaY8J9SakD+w=,1,,,7,2,4
CcCQlJvaZ3Pv0ri7zOkR6d7KicKDvnmpYuDz/fLwMjk=,13,39.0,female,7,1,1
PRYVdOft+iZhWVqpxqFLLL4V6HEu+t6B5WRjZ0D1c+Q=,14,21.0,male,9,2,2
rVAbeW/WuBao17xH3pxMgfxs5D2w9w7lamphdR1XzAY=,14,36.0,male,7,1,4
BkbC6Inf7ubTAv8/XHttWfpvxxX/pdanI5KQMrUa9XI=,3,22.0,male,9,1,2
WZ87NZRBr3E6/skbjsvrBJCc5sgyzkxvJfwAke6EyhM=,1,,,7,3,3
chxaDORjXr0HciWfkwmwcTG3lnGXbmYE3k/Wo84HS9I=,1,,,7,3,1
nlsqtxAbGr9BekQrspsbJZC7LtqTQfJEKpq/3pav6kM=,1,,,7,1,1
zBbT7ft6R4HT3Z1bjN4Waqg6omLXrH7x8T+RG2AwHjs=,1,,,7,1,3
5BXHiY9E2ayFYoiq9SWwqULFuQkLCEwz7Xq9oGwPzcQ=,15,17.0,female,7,3,3
hg3FzBusYcfVZr+fQT6zBI0tjsqhR4kSmVm6gUvmPK0=,1,,,7,2,3
2/MbguHwDfkZFFb73AYt3uT/Ps78ke6iNCUlEd9C/UY=,8,22.0,female,7,2,4
Uj2G9oaaNTugmdx6SAsDFrEGf7GGWVL/TljGZ0egxh0=,1,,,7,2,4
X2BKmHBvcxbKuZDUKHf7P6fxGoteI4jk60P5JqXDcaM=,22,33.0,female,3,2,1
ylqNxs30LBVJHVmsNkqPbx+dIhw7E68+egnlqpew4VI=,5,22.0,female,9,3,2
FUKo5bBPQ60OkZttt8/EE6W3csaxmBRcc9Ly6loDdiE=,22,34.0,male,7,2,4
KHO8MIZZg6nvbYuLaamFdv3Wk92KW731+m1Q5ha/Tyc=,6,22.0,female,3,3,4
O/cMoEbVtBQQqRArxXN2QE2woZOiLGw9y0Dm/ZdFkKQ=,5,24.0,female,9,1,2
Z/QAZXMxefVNj2VhLNqURPrm9ZGfUOzmnJVHI/P/eno=,14,51.0,female,9,3,2
Vb/EMqye3Ba0PUdvFcB7DD5v0BIf8X9etfBPfvB832A=,13,36.0,male,7,1,4
aEEQgMXOL1aflA/CZD+uwEWwKOe9RP6Eo0SuNfVKRFs=,13,27.0,female,9,2,3
P2kxNWnvWXTQ2OCjSaVi38Z1TPkOLt5rcDqNGedMgy0=,4,33.0,male,9,3,3
Bfvx9LEaRrLGR03sajv3HVFBqa84wPjaAixOvp1WMlo=,6,26.0,male,9,2,1
JNddgAq59doFzwpm7tPj9KqGnKkdFN4OwKmvQzLoxQE=,17,42.0,male,3,1,4
ATqf8DnApzAViE5SLcWdvHMzZxnFfrCsiTiPbqBrYrc=,6,37.0,male,7,3,3
OB8WU7MHCkB7dWexBt8pd1R2PT4gJJD/5Jl5+fUbiWE=,15,27.0,male,9,2,3
U+jR3uLz7FceCXn5uU5aQJrmDifKd2LQ9q3FMgGhEVw=,1,,,7,2,4
jYG26JmxXG3KbUYHN6b/KN5jUocS0owAVGD1ZZFQGO4=,1,,,7,2,2
TBNywaOpJmXE7psqm8KRCmVwGasVFPyuZq2Lw3KxCG0=,1,,,7,1,4
uYjbgLyeHLyfZI9eaj0B/j2qXY9srhhIwvHRqczMP4M=,1,,,9,2,4
JDP7StVIawKcbpZUd7snEgIxilBKIOkPloH5MPfTg5Q=,1,,,9,2,4
L+hAsLW648NQDE72y0+BvyuYfpWW1gwbtK0PsCje+FI=,1,,,7,1,3
2iveNIxGjvpEuPeub3IJgJTfNjjKg3Wu2xa4EM/o80M=,1,,,7,2,3
rQneu7HSNR99H33mkkdrnMMikT69nT05J03I6nB1vsY=,1,,,7,1,2
oh9bTGiBui/LxnFaAGlIZgXuOazrQ11iOJLdz/tWfm8=,5,29.0,male,9,2,4
rkCggg162SdXtmQkPjV3B61/ZLq58Z+MhYpGSvHSpn4=,22,34.0,male,7,1,4
0FfEcuPI3XXkShHYXRLWPuOSFTdv3lt45XR1o52OyHI=,13,33.0,female,9,1,2
sPLD+h9gAK1FSU10Pxn0jCjNyeSIVNtXj4Vg8u+vy6Q=,1,,,7,1,2
9nL9r50IZSUVOC8QjcLS+agGP8rVqCLE8vKqq+xEBek=,22,18.0,female,9,3,3
MmGxCygRsBOGZVE8kLxYOSHRCZzX4Ls67PEWX9uVy+s=,13,23.0,male,3,3,4
83e+U2jEcbwoQtoVbduWPc0fcPGjydWbyAZJ/C/MPK0=,6,28.0,male,9,3,4
GB9XWQQuCn5rtaWHmlY6tzn8u5aq9WaONUTVbbAJpQ8=,13,21.0,male,3,1,1
mdh+wRpheCxkJjecvfrUmOaS2dcvh9CWZ/8qPH2GE50=,1,,,7,1,2
ZUesfazP70Nf8NUl0saNj5LqFG8VyNFKR0V9jNLVYcg=,13,28.0,female,3,2,3
vljufHcbBpNTKsRqtSm1TWtr0HxT5hZpRkS7HASirew=,22,,,7,3,3
FK98RR2Gyo+zKcSnnpW//r5qDXrbFsLg37GptcVH+os=,1,,,4,1,3
kFZxpVU6p7UQh6r0xw+2bmILfpErG/7lKoSz4XMdmnw=,13,20.0,male,3,1,3
Va16LjzNBX/45zikbULXiXpt9064wX11jeqeDbjrHHs=,14,,,9,1,4
PnXVoMZ5t6KzxKffps2CL8h+Fvbp/sAztzrJQVSgdVk=,13,29.0,male,9,3,1
1rp4YQeDYysPnuLhRzXrUUBg4mi/4uX3aGylni0MAcA=,5,59.0,female,9,2,1
Myz3WNlW+mnJp20dcpoSscYN7IeqYLEemXFK8WenCSE=,22,,,9,1,2
DlaE7xE/7scpM6Fu8lhODDon/9AzGtcZL0ScnB35S+o=,8,19.0,male,4,1,2
4noe0jVYtSdtxhVWRKzIck0fGD8WVXzaJBKXscw7LYM=,1,,,7,3,4
VwIucoWBsZwYKe1ycPPZQL6wZQKHYsOaWWmbMxKHJn4=,1,,,7,2,4
og9JOeLgHr54WBGBpFVi1Z6wtaSxvMia6aIb7GVHouw=,8,28.0,male,9,1,2
VLQWUXg2gX26FcAG4I6NvNYMDTJ3J5Gt6dn+35OPBJc=,1,,,7,1,2
isfKk0tCw505tfzKwBIHP1TBjGoanq75dVvu5WTWvGk=,1,,,7,2,1
bdbszQPRvvWOG1Guljwl/dcb6HJgdNNxQ35fVfzlwA4=,1,,,7,1,3
7djb5nGhyK8HCfK08T79gRgpHXZFidyRt6ZnGf+GZkc=,13,23.0,male,3,3,3
B7tZPS47hK22oeMVZ7Fpa8StfU+/Ks5OgbKzcb5727w=,1,,,7,1,1
ZDeoBxfHybMmdgJPWqfGltDBAWp2j9sSGsRiuDhkAVc=,13,22.0,female,9,3,2
4kBMe/Ewv+1l0fIP81bQnHpqD2RegwYcifTnaOnHcs4=,5,23.0,male,9,3,4
R9m69QasfxpKlm0/h1we9lf1evhC0Ope2V1Eg7JsmCk=,6,,female,3,2,1
KqT2tpERGOmyA1LoKrgsFCnRB8EyuCbMIWFITM06f/Y=,5,28.0,female,9,2,3
/LQ2vrNFkNhrsKQu9K22YKq65yidZzQJmq7fD8KYqXI=,5,28.0,male,9,1,4
mSJjRTleJUVwDYnyhCjFODsaIYPAO/LxQDlLIXZ+07w=,14,,,9,2,3
JNig1mC9pZF5ZDs1Z4rS4+dfXiyp0O2vQmTRqO3BydI=,6,16.0,male,3,2,4
bbfzydRtM3FWzUnYLLYetKVEKZsd4u407PGztSXNjos=,1,,,7,2,1
1MT2wS/Q5DlYbTlDGfkUphyzFaR37SdCKGoxwr8SL+A=,15,27.0,female,9,3,1
NVXaaSZCqbV+D9XxMtxxsMSv82z/IwHeZCaT92bKNyM=,22,42.0,female,9,2,2
TKEcdf0lGXoMHHZE9ev0+Ie/yo1/P3GdwDCBo3msCVw=,1,,,7,3,3
Tc08h0IXO35bNhKdlgh9k5YFboj8G2ZwxToGzoaXrf4=,1,,,7,3,3
05ZIlGH8assaQ3MV+dJuR8O1R+GAPmD09hMKjMz5AH4=,3,22.0,male,7,1,3
hUSt8u/sxd0U/+HFo5qPNxVc6lYTilQjFPr9guvyiu0=,14,,,7,3,3
Ag2jtjIHlEfErHT4HcOjlIwRZt8iL6IV+ziuZ03Ys9I=,1,,,7,3,4
u7KnifPDe2byhFUBGZ1Y9Xe/aVxOb2z6LrFO/lvkNEI=,12,24.0,female,7,2,1
evsClIhkoLb1wrhXAo3kM1Po0E19D1OQsGcIULyPQKY=,1,,,7,1,4
wj0mMSXwdiharFbxlSza0I4y/KJgZauMc6G/xU/F0Sk=,13,38.0,,3,2,2
lx1hDXedhN7btf5pUUH9Vx+Gubt/gq9pLqQVDprvhhE=,1,,,7,2,2
z4GwhkyQfma5fjYzUoE2JVG03WsmjgnPDvmPczBG6qU=,13,22.0,female,3,2,3
gsiZ8xnwDQiRrHb1cCa2YWezoyQnlzO8+fea25uC2f4=,1,,,7,3,2
MeJHGv4CIaGcEGLAjOV6UdkUMpe5eDshCzeSEoYENH8=,1,,,7,2,3
1mO4Zl1fIPhs0neGDfVoX2axD1YZcPNviYUPrYM3VTY=,22,17.0,female,9,3,4
NFuPpIYNd7KvnLNJdkTbVvnYt+eQKUaCYVniDyF2X5o=,6,25.0,male,7,3,4
z2Zt9SveB3EiGCQe9lWUT30pIciS5Qph7W+G48nsHl0=,13,20.0,female,9,1,3
CPgbygLnnnDQlx8IS16qWNRJ9OpfBo4fMAIom5Nm4Zg=,14,37.0,female,9,1,2
WD/XpWbsH2RybDVUan3/MbQFMqznBBKCZ3TkHWFOYxU=,1,,,7,1,1
svx2ONikfnavUPV2EUVH242U7mMZpiLMrtUnXmxamO4=,1,,,7,1,1
+6KgKovFigr5lk3+G8srZUoUHhPS8a+rTa/N2Vg1wsg=,1,,,7,2,1
HPZBYXr8WwOiwVxBaPpAwziIwKM1w4R3pmtrZrMYRi4=,1,,,3,2,3
8EBgFguCZPBD/jxSEufs+1J7D44BA+42yoHsZ/dMAxc=,4,,,3,3,3
N20D9acACSbukqSmh/TjpUX5pTV0JuLB6Xtt/AZcKuo=,22,27.0,female,9,3,2
PrP6bHr+2q7j8f8KOH++Kfrg+q1rdnCMnj9SuFdQQJ0=,6,26.0,female,9,3,3
I7MLunfTBoIL4RXNAME3BHxyu2T8RBQy5B0wk1qoqDk=,1,,,7,1,2
J+vl+Oph/nak9wLYAihiOkbQs20w4p+8nWTF69uDIQs=,4,19.0,female,3,1,3
rPyYN4hahXOGyUenCQSYFEaRiYkknzQtyCtTq+edG8Q=,13,29.0,male,3,2,4
lNv82JHXoD4JHdVT8Yhx3L3lGHZGG+TB6uHqj7NrWjM=,6,45.0,male,7,1,4
Mm5K210GRKlkMU7kVnDS+KR2a9xNAjleJQFS/D1fU0k=,13,27.0,female,7,1,4
EzbcfH/Y/5ugRetLtWbXT039DnrqFZBpXY52cMiZk6A=,1,30.0,male,3,1,1
oLlsNBNTWfOPSULmKZ2agqRDyqnIDbQ6Bwe4QjVzdGA=,1,,,3,3,4
kTkg2EHay1/WOjev4/MfV0/GrvmiEXK1yrkdJ7jRod0=,1,37.0,male,3,3,3
VLlXGIDuYDxx/KyOGdqrs+FZ2xZtg64Y+gAsP9vxrgc=,13,63.0,male,9,2,2
ARF1X05HsKm5sVGs9ahXtQQJYc0+u/lwVjMqF2sCxss=,1,,,7,3,4
ZvEAdq5Zkws6adM/FiL7v0tutRsBX4N3e/O9LRJ/ACs=,13,17.0,female,7,3,3
/rCs8cfliqPvb9EeikqwDRr1uzk7SYJtrOECuETyjDs=,13,26.0,female,9,1,3
gp0Fmenihe/VwqauZtHdjAoBt4yEZZhcfy6aT6u7108=,22,22.0,male,9,2,4
UxdsI3WFXV0YBgX+9yOGO+tmFEc7dwUzndD5OmjeUXE=,1,,,7,3,1
gsiOlyhYROndZiBAAaW/UF0omnqM3kDxbNW4Bou8W8k=,1,,,7,3,1
HfaYhckgv3g+JHYz7jq2NemjA61n6x3PAdZe6hllioc=,22,23.0,male,3,1,1
Os+eGNzK7oAsaITBNLWcgQDLiHs5mO+e44mfoShZnAc=,1,17.0,,4,1,1
6EAB8XqeYDRycTdP8n83GK5AN6PA+a3kkNtDQYA7wbc=,13,28.0,male,9,3,4
XgFCVDMuZpLMMKcw/Vfz0mye8lH5HbX/S+sFvrL5k84=,5,25.0,female,7,1,4
tfOYf9wgGjL4i8mjphlGpTCgNY2pKEb9IWxVgIc2nxY=,4,23.0,female,9,1,1
v/gENeE3FIPQpp6zoBflQc/moSUFtuhSZhukdKY7fbA=,5,24.0,male,3,2,3
cJuzO80JNsKJTWUvccB/CutziTXNRfF5J84AQOdS5Ro=,4,25.0,male,9,1,3
x7HrMPFG7opsaOsItgOcLFm4mj3qtF7Hr7FHwWWN7Kg=,14,39.0,female,9,1,4
8tCWgg+8vXHqVdBedMCO7vUsZrUI2UkOc/TFe9Vt9DI=,1,,,7,1,2
2pHTtmUviukcUxYbNDuikzHCUMUZ/HH6F9w9YVabFlo=,1,,,7,2,4
M5n53UOBwPTtAJzTocWHO8Dj8Ab11qP5n+5nXc/OEWc=,9,28.0,female,9,3,1
jvXtGFebCRAfr2C7etdHPu/1kQMIx7wukhqRBDoBZks=,1,,,7,2,1
4Jb9mYTMt9YpLnRgUCvR8c4uKipSgThLYsULqRPO9lk=,9,20.0,male,3,2,4
KrbtzmUxCJ61S/OfUFGdJpoSwHvsFu/5huU1iRIsBlU=,13,30.0,female,3,1,1
xhMGmLAUefxIx0U8tFZCnQPFRJ5Wpo+ETajR1eCWQXQ=,5,21.0,male,3,3,4
DQPVpj7eQWfAgNBLieEv9ixHU6kjwzGIYz4ZV9nKxfM=,4,30.0,female,9,3,2
wbjaiLE4vtcQ7uk54kFGFNC5yRgbzCHNzmYXeOnwTvY=,1,,,7,1,4
SjpUTFGOAuhrFhxoKLDApydyFdxtP0elwjh5vg3RG7A=,1,,,4,2,4
jC1kGZMsAv8ruHw7DpAkFiR66PDixLVfhvOHBa3JtkA=,1,,,7,2,2
12PSgyrikr9l5bmZ1Puh0Hd508MXHJHobj9qhwi+wjE=,22,,female,3,2,3
+jE/A+cbJQRYIYuAP2Z7AzOEN9Pli2zDSvNe7N87tb8=,14,33.0,female,3,3,3
JbZW7yryeClmgEbjTKSo9teddVJj9rNQUiUzYLtB6+w=,5,22.0,female,9,1,2
mhvVh2k1AMQ/DLk+pmTuGQhB/HJ1aPqq+JpQZ+b0XA4=,1,,,7,3,3
LmFB+3v7QbovKYkCkFtskCLd3rAsSZJVuxR5EiOMtxc=,1,,,7,2,4
PAA/yV/YNyALp0uRgKSdy52cgRek0xM4lf6vr63nfws=,1,,,13,3,4
3fs2RpFE0muhLzUoWo4c6fUpW49O7Q17JY5TErHEo3c=,1,,,3,2,3
Z1aDB8lfsotz3de9k3vJ0RnQa/M8oqGxO3wzhpmLIzs=,1,,,4,2,4
P4mo7QlbqOevg1lq8vVR4pyTQaZ8Lq2sm4KQOwQeR0o=,15,31.0,female,7,3,4
BSm3I0U1H3md+ATC8bYZKO2KPuoPq3icd5g5WtrW1JI=,3,31.0,female,7,1,4
tda6hLo7/43Zy4v6GZcEgBS98PQZTFbs3aZAtFfed8g=,22,,,9,3,2
TDuMHehg8Q0M3daw+BSfAN+yUEauSpCTqMFQogs8+18=,4,28.0,male,9,2,2
3QecmIvgl78CXzVY18DJtJr6XMCwklxrU/taS/y5H08=,1,,,9,1,3
f9gZh5X7Ic/PIGzogAq0z82ib4O4/qtFsm1wj2ua4VI=,1,,,7,1,3
LzXYthNr22xliiIcDLm9sUjCXgCBsbtEKCQXYm+ZVlU=,1,,,7,1,1
t6yfRPgl407b1+M3/XNfSE87yOIG9n5ZQ8CDtiP9JLc=,1,,,7,1,1
FSwHW1IGurnv3tpDLsAclmbrJqg/lSBHzfVEho3aRV0=,5,17.0,female,9,1,2
zK1UQxR6KU4FDk06OUhtdJuelU9vOH10JNVwmzTMGDA=,13,23.0,female,3,2,2
mNLoIZHXe8J8PHKiQ9nSK+eRS540Mtris8/TJTUKaTs=,22,28.0,male,9,1,4
a9w/OHJ3URd3L2SdO5MeoJBu39Lfj0sLVxyNUqYg/PI=,15,30.0,female,9,1,1
pc0TWbi/eMlnEJJwdbl+KP40EtjgnzSp/S1UM7dVCdo=,1,,,7,2,2
CmX2Z9mW+N30AcuWOV4+Membz+76fNeUlWnCR3kPyjU=,5,29.0,female,9,3,4
9cj7USmxxnvSsPGiOVIKksJ7A3b18y26OsWUtHy8ViQ=,11,22.0,male,7,1,3
RnYhsuEbQcRJxYEK8H9NaOWcAcp1qFX8nljA9yFtviI=,1,,,7,3,2
isTnjdgfm7yAVI/LmNqI0JCH6MNrZ4OPojZJzLVLCEg=,1,,,7,2,3
ECDOyKXGcBhCwiEYuvoTPGcFTH1aKsrkMb3CdovIPcA=,18,37.0,female,9,1,4
BT7Po4DrewD8SDWmwfQhC3qXhwH6CbB1w93awxZo1R4=,1,,,7,3,2
oXus6TF8RUfYhUjLf0CDCQL213YirVkPURNIY6j8sEc=,1,,,7,3,2
T26Vzgd0HPS8jskkKouFBVn6fUyYUZzYnwCCsfODHKo=,3,27.0,male,3,3,2
pDHb4hPfJK/qFcZdWfa7oai7ESYolbme7NlzKavFgEE=,1,,,7,1,3
jO5uFaBVKSriu6XSTVYNA97+68OTMQ8NeC5i42oH0Do=,1,,,7,3,2
OsA7+EGcvOKyolj0FkoH44SnNTp4/aYOKXOzSRMP48A=,1,,,4,2,1
W0x4zbQsdbUq05qrjvruzUc0Ad3wW2dptihLinnmdKM=,1,,,7,3,1
4Im62h13W3K/LMO9ebJoiW/gWMsI00HErs0vT8c7CN8=,1,,,7,2,4
ICkMLB1ExTYY8E+7KUjXMFMT2sZkLvYeFTmsVdilfsg=,22,24.0,female,9,2,4
cfto+C/yhzEwRcwUiD8f13XWR2Bhq9FlT9BggCIQkDU=,1,,,7,3,1
QiTVR18cPuuGx2HskA+Wa77l151F4nv7xxnjUf9BvWE=,22,,,3,2,4
xi5jaYsLU2iDE92695JXSzR62DDrTNnRwfrZYywDVjo=,4,55.0,male,7,1,4
O2VqC5IsWEdN9ciz4LiutXVtX8taybFwl2Fpw5UQmmQ=,6,20.0,female,3,1,4
3L4k0K1m2Ftsznmnl81MjmVMm4+BBxwVPqX2HKu3Y3U=,1,,,7,2,2
qP6CzxrxKt3ccY99owSuu2HbojAxMQ1ycPqIP+TpRR8=,5,20.0,male,3,1,1
80jwDVN9MvLAOnujRsr7iP08c61nSE9neG4NC/fON7k=,22,,,7,3,3
9uW49p02xWVMQvv8SFUPz0fnM8s1rT4yK5He1BnB8tM=,15,28.0,female,3,3,3
B7QEaZQXDm9Fr9+t6TNVmv6Vz996Q2+NpMULoGGYUW0=,15,23.0,male,9,3,1
yU3EBjkAiQ/qW75Dg20UxRIYVvAzVqiKBCtDU9Z61Go=,1,,,9,3,4
E/cHQp5gVJEuyCtDwFqKMJdQcGWdcPUBCdvE9V2jkoY=,1,,,7,2,1
6dGq8BKkNihNBGmeO7S6uMN8H632HYffviTmkqJNZME=,15,48.0,male,9,3,2
ZVkiKkXbrwyJaUY2cbifHLq3FKTtHMsBrd+j+67RjN4=,13,28.0,male,9,2,4
IZjuQ8dZ0OrA3dwgiX7qsi0A4c7SDb3XNvAKTGXChOU=,1,36.0,male,7,2,1
13lR5NxRrpXg4ula9PGyF1ZjaSiorga3z64HG5HiVrA=,21,20.0,male,4,2,2
uToFklo/V1AYWwz/3A7FjeiJGkWGHR86KcZqQbS66nE=,5,24.0,male,9,2,2
4cfn31LrHmj1TJICBZxj53f+jU8naeJtLEfAOkfUQpU=,9,27.0,female,9,2,2
/e2gs2G0UFoWUsCswFyAjTe//+A4EOoAVg49ZaArLpA=,1,,,7,2,2
/Ujbp9qqjrVX28ZuVYQ4fdkUY5IU+qtY+lZkE20pPLs=,1,,,7,2,1
5VlAXx/TKDawTAIEMSq9cnLg8rrQPokfFsSVd3KW0x4=,13,35.0,male,9,1,4
Xi11c48P/qZCmFWFHQcX9/hXONVblAzVOBwoiDP7LA8=,5,19.0,male,3,2,1
iS33Qef68Q7tsrRRsyJwKv/GtdkpVx/SZoVzCiYC+F0=,18,24.0,female,3,1,1
N4iCA8GqJRRWZdto6aynG1w6DEQHwrPGcb1A+I7VqTs=,22,28.0,,9,2,1
u0P5vSUF3xIO/ka7RX9JT+DyTxbf5Ev+McDUCUBmzHo=,22,29.0,male,9,2,3
qdqDcDI+lvummB1jEvYdVMsyMi+Ym6whKX/7RE5fI0w=,15,32.0,female,3,2,3
HF8M4L8KatJHX36bUB+n+qMV/engs0l3f1p/uzYMiCw=,1,,,7,1,4
FAkubO6Wecf0Wr9ayzH22bDfOkJs58ojWsnbNLcx8qY=,13,22.0,male,9,3,4
ggAiNn7ZyKL1E8RbZxO90Fp8Ct0VT+q4R3TOaYLF7gc=,4,24.0,female,9,2,3
5J8yYYJZB4j8fMM3rF1PAk4DiZx/+nIfYusntKnJD4g=,5,28.0,female,9,2,4
Sm+3kc+o04HtHHIR3mwjWfA2PxcAyj6mLMbWjGtQxgE=,15,20.0,female,4,1,4
AkDjTUlr0mfcLMF8p7+n2NoAxCZEkt+AJvOTl3nYvgA=,5,36.0,male,3,3,4
UOpidQQ9MaGD7/ngIJEmQkNDVpdBtBVvUN/GckTNf20=,7,21.0,,9,3,4
fpq2GnezPt3ok09HJv1s2CFIA9LKhgRoftzogI/s5fw=,6,21.0,female,3,1,2
zgujU3IY5/4HoZ1K44GPWZERx8akmg/mh3k401aucYI=,5,35.0,female,9,2,3
yk34ivaTL8K2LtutNiu0qsLV67wv5qq/rXv/MKOi5C0=,1,,,7,2,4
3irKXIgXlbeeNCmPOzsw/S4KFwBkBZTDrPdrwVuU2M4=,1,,,3,1,1
+cHu09rOYzjpoovct6XRk3MGxvQSal5wTYwqkpPkoPA=,1,,,4,1,2
